城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
长春市,28.0,33.0,45.0,57.0,74.0,89.0,109.0,139.0,187.0,233.0,281.0,355.0,405.0,474.0,602.0,774,1010,1283,1633,2232,2880,4711,6329,8273,10155,12050,13945,15840,17735,19630,21525
长沙市,56.0,79.0,100.0,126.0,153.0,187.0,238.0,292.0,347.0,430.0,519.0,649.0,785.0,954.0,1322.0,1786,2382,3063,3994,5676,7542,10333,17047,25025,33003,40987,48972,56957,64941,72926,80910
长治市,2.0,2.0,7.0,8.0,9.0,14.0,16.0,18.0,19.0,25.0,30.0,35.0,40.0,50.0,66.0,86,107,142,202,264,367,638,934,1246,1558,1870,2182,2494,2806,3118,3430
阜新市,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,8.0,11.0,14.0,18.0,18,25,41,51,71,120,189,239,308,377,446,515,584,653,722,791
阜阳市,3.0,5.0,5.0,5.0,6.0,6.0,7.0,12.0,16.0,21.0,23.0,30.0,31.0,48.0,69.0,100,143,201,285,410,555,1087,1680,2489,3298,4107,4916,5725,6534,7343,8152
防城港市,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,8.0,11.0,19.0,23,28,40,46,55,114,189,258,341,424,507,590,673,756,839,922
阳江市,,,1.0,1.0,1.0,2.0,4.0,5.0,6.0,6.0,6.0,7.0,8.0,13.0,24.0,30,37,52,74,88,117,177,356,507,658,809,960,1111,1262,1413,1564
阳泉市,,2.0,3.0,4.0,4.0,6.0,8.0,10.0,12.0,17.0,19.0,26.0,27.0,28.0,36.0,43,52,64,82,102,134,235,332,725,1065,1423,1782,2140,2498,2857,3215
陇南市,,,,,1.0,1.0,3.0,3.0,5.0,6.0,8.0,10.0,11.0,17.0,23.0,33,47,55,68,84,107,175,266,366,466,566,666,766,866,966,1066
随州市,1.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,7.0,10.0,12.0,19.0,28.0,45,60,80,98,121,169,283,378,489,600,711,821,932,1043,1154,1265
雅安市,,,,,,,,,,1.0,2.0,3.0,7.0,8.0,13.0,17,22,29,37,55,85,146,210,281,352,423,494,565,636,707,778
青岛市,102.0,128.0,155.0,186.0,224.0,267.0,316.0,375.0,429.0,518.0,629.0,774.0,917.0,1122.0,1485.0,1976,2530,3263,4174,5476,8949,13922,18298,21905,25521,29133,32745,36357,39968,43580,47192
鞍山市,11.0,13.0,15.0,18.0,20.0,23.0,27.0,34.0,38.0,42.0,46.0,54.0,59.0,67.0,88.0,102,125,151,186,226,357,555,677,761,845,929,1013,1097,1181,1265,1349
韶关市,2.0,2.0,6.0,7.0,8.0,10.0,13.0,16.0,18.0,20.0,26.0,30.0,37.0,42.0,56.0,66,84,114,156,212,302,494,661,838,1015,1192,1369,1546,1723,1900,2077
马鞍山市,,,4.0,7.0,7.0,9.0,12.0,14.0,18.0,23.0,30.0,39.0,48.0,66.0,84.0,105,128,159,192,232,406,598,807,971,1135,1299,1463,1627,1791,1955,2119
驻马店市,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,9.0,16.0,27.0,34,49,72,99,144,235,468,676,975,1268,1562,1857,2151,2446,2740,3035
鸡西市,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,8.0,8.0,10.0,13,17,21,31,36,48,78,125,160,195,230,265,300,335,370,405
鹤壁市,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,7.0,7.0,10.0,12.0,21.0,34,46,59,85,130,201,375,513,688,858,1029,1200,1371,1542,1712,1883
鹤岗市,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,7,11,13,20,29,32,41,88,127,166,206,245,285,324,363,403
鹰潭市,,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,10.0,11.0,17.0,22,27,41,60,83,173,265,368,502,636,770,904,1038,1172,1306,1440
黄冈市,1.0,1.0,2.0,3.0,5.0,6.0,8.0,11.0,13.0,18.0,21.0,27.0,29.0,36.0,51.0,74,108,146,209,285,362,631,932,1330,1728,2126,2524,2922,3320,3718,4116
黄山市,1.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,9.0,15.0,24.0,29,34,39,57,76,101,184,274,400,526,652,778,904,1030,1156,1282
黄石市,5.0,5.0,8.0,11.0,11.0,12.0,12.0,17.0,18.0,20.0,26.0,29.0,32.0,38.0,45.0,63,80,120,152,197,265,526,700,977,1226,1485,1743,2001,2259,2517,2776
黑河市,,,,,,1.0,1.0,2.0,4.0,5.0,6.0,6.0,6.0,9.0,14.0,18,20,26,34,51,70,94,129,172,215,258,301,344,387,430,473
齐齐哈尔市,,,,,1.0,2.0,2.0,3.0,3.0,5.0,7.0,10.0,15.0,17.0,19.0,24,32,38,55,69,95,163,305,451,597,743,889,1035,1181,1327,1473
龙岩市,1.0,3.0,6.0,10.0,13.0,17.0,22.0,28.0,33.0,39.0,46.0,58.0,69.0,83.0,110.0,139,177,243,362,577,944,1404,1878,2372,2866,3360,3854,4348,4842,5336,5830
