城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
娄底市,1.0,1.0,3.0,6.0,7.0,10.0,12.0,14.0,16.0,18.0,24.0,29.0,31.0,38.0,46.0,52,69,98,131,165,212,288,520,751,982,1213,1444,1675,1907,2138,2369
孝感市,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,11.0,15.0,21.0,26.0,34.0,44.0,54.0,64,89,118,156,205,250,453,635,876,1108,1343,1578,1813,2049,2284,2519
宁德市,6.0,7.0,8.0,8.0,10.0,12.0,15.0,16.0,19.0,25.0,37.0,59.0,86.0,115.0,154.0,206,265,327,525,742,1041,1365,1718,2205,2692,3179,3666,4153,4640,5127,5614
宁波市,47.0,67.0,86.0,106.0,129.0,152.0,191.0,224.0,261.0,306.0,373.0,461.0,556.0,659.0,856.0,1077,1388,1801,2405,3167,6036,8614,10942,13109,15288,17463,19637,21812,23986,26161,28335
安庆市,4.0,5.0,7.0,9.0,11.0,12.0,15.0,18.0,20.0,26.0,29.0,37.0,42.0,52.0,73.0,81,100,141,204,303,431,731,1097,1549,1998,2448,2898,3348,3799,4249,4699
安康市,3.0,3.0,4.0,6.0,7.0,8.0,11.0,12.0,13.0,13.0,16.0,20.0,24.0,29.0,46.0,64,96,116,141,175,256,416,535,697,853,1011,1169,1326,1484,1642,1800
安阳市,4.0,4.0,7.0,7.0,10.0,9.0,9.0,10.0,12.0,15.0,20.0,25.0,32.0,39.0,55.0,81,108,139,189,233,341,742,1126,1588,2048,2509,2969,3430,3891,4351,4812
安顺市,,,,,,,,,,,1.0,1.0,1.0,5.0,14.0,24,36,50,69,86,107,210,392,551,710,869,1028,1187,1346,1505,1664
定西市,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,9.0,16.0,22.0,29,42,56,73,97,118,204,302,431,560,689,818,947,1076,1205,1334
宜宾市,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,19.0,26.0,29.0,32.0,38.0,51.0,64.0,85,110,144,217,310,468,717,983,1340,1696,2052,2409,2765,3121,3478,3834
宜昌市,4.0,5.0,9.0,15.0,21.0,26.0,35.0,43.0,57.0,74.0,90.0,102.0,119.0,139.0,185.0,223,292,384,493,609,753,1192,1683,2632,3576,4521,5467,6412,7358,8303,9249
宜春市,2.0,5.0,5.0,8.0,12.0,13.0,16.0,17.0,22.0,26.0,29.0,33.0,43.0,51.0,79.0,110,150,189,250,349,746,1242,1807,2245,2685,3125,3564,4004,4444,4883,5323
宝鸡市,7.0,7.0,9.0,12.0,12.0,17.0,21.0,27.0,31.0,37.0,47.0,58.0,68.0,83.0,114.0,161,229,315,407,570,762,1023,2196,3238,4308,5377,6445,7514,8583,9651,10720
宣城市,1.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,12.0,12.0,13.0,15.0,19.0,31.0,36,47,65,89,125,174,340,480,694,895,1100,1305,1510,1715,1920,2125
