城市,GRP（单位：亿元）,AI百度指数,政策数量,科学技术支出（单位：万元）,教育支出（单位：万元）,年份,注销
云浮市,849.1284,54409,2,31104,408868,2018,0.0
云浮市,922.0,58640,4,42823,481004,2019,0.0
云浮市,1002.0,60988,10,34976,546633,2020,0.0
云浮市,1139.0,40652,12,22308,538045,2021,13.0
云浮市,1162.0,40413,14,6354,569281,2022,21.0
云浮市,1207.0,60097,11,23845,548162,2023,21.0
亳州市,942.609,34328,0,28524,448896,2015,0.0
亳州市,1046.1044,33910,0,26729,511230,2016,0.0
亳州市,1149.79,50214,1,53655,585197,2017,0.0
亳州市,1277.1945,60667,5,52169,641005,2018,0.0
亳州市,1749.0,66216,6,57857,765756,2019,0.0
亳州市,1806.0,66659,8,55157,802909,2020,1.0
亳州市,1973.0,53323,5,51730,772043,2021,10.0
亳州市,2102.0,65805,9,68306,815153,2022,420.0
亳州市,2216.0,76853,11,69772,881656,2023,95.0
伊春市,251.2167,23404,0,2629,73493,2016,0.0
伊春市,274.1523,24718,1,1856,72629,2018,0.0
伊春市,299.0,23053,1,2140,130125,2019,0.0
伊春市,294.0,33227,1,2258,163483,2020,0.0
伊春市,319.0,14718,1,2765,181258,2021,0.0
伊春市,343.0,17152,1,3762,175396,2022,4.0
伊春市,358.0,30265,1,8942,167710,2023,12.0
佛山市,8003.9186,121569,0,302739,1280022,2015,0.0
佛山市,8630.0002,134897,0,349559,1244663,2016,0.0
佛山市,9398.5162,177245,0,462621,1402545,2017,0.0
佛山市,9935.8845,202204,2,546769,1482310,2018,1.0
佛山市,10751.0,181015,0,981555,1597130,2019,15.0
佛山市,10816.0,170790,0,1015580,1725234,2020,22.0
佛山市,12157.0,139033,12,1016580,1943805,2021,163.0
佛山市,12698.0,140748,14,835955,2059881,2022,388.0
佛山市,13276.0,200056,12,573562,2124155,2023,769.0
佳木斯市,810.1676,36973,0,9615,246833,2015,0.0
佳木斯市,845.0332,47122,0,4281,243810,2016,0.0
佳木斯市,992.0498,56959,0,2339,270632,2017,0.0
佳木斯市,1012.0491,61524,1,2682,262742,2018,0.0
佳木斯市,763.0,56533,1,4740,278840,2019,0.0
佳木斯市,812.0,60238,1,12190,278928,2020,0.0
佳木斯市,816.0,48160,1,19123,286833,2021,1.0
佳木斯市,869.0,47106,1,24110,296391,2022,7.0
佳木斯市,909.0,62989,1,16853,310503,2023,26.0
保定市,3000.34,96600,0,22274,1221166,2015,0.0
保定市,3477.1269,112917,1,37453,1307572,2016,0.0
保定市,1357.0,118548,2,44738,1445318,2017,0.0
保定市,3589.7885,127537,4,43063,1654492,2018,8.0
保定市,3772.0,127750,5,56776,1860080,2019,41.0
保定市,3954.0,133917,4,50426,1915839,2020,40.0
保定市,4402.0,106373,4,122425,1931191,2021,65.0
保定市,4608.0,109076,3,140928,1842778,2022,217.0
保定市,4825.0,130557,3,206846,2180908,2023,376.0
保山市,551.9581,9275,0,9515,328693,2015,0.0
保山市,613.3904,15455,0,9516,396133,2016,0.0
保山市,678.95,26037,0,8396,441137,2017,0.0
保山市,738.1448,36248,1,8522,491612,2018,0.0
保山市,961.0,36131,3,7069,455998,2019,2.0
保山市,1053.0,36167,3,7024,464999,2020,0.0
保山市,1166.0,21990,2,6058,471024,2021,9.0
保山市,1262.0,22535,1,3697,485033,2022,35.0
保山市,1254.0,43557,4,3947,495342,2023,46.0
信阳市,1877.744,55417,0,19989,817863,2015,0.0
信阳市,2037.801,81586,0,21613,925329,2016,0.0
信阳市,2194.51,85250,1,22204,1009016,2017,0.0
信阳市,2387.7965,85394,2,22911,1173793,2018,0.0
信阳市,2758.0,82678,5,24110,1185690,2019,1.0
信阳市,2805.0,87161,7,92007,1288296,2020,2.0
信阳市,3065.0,76565,9,148349,1159639,2021,15.0
信阳市,3196.0,77627,8,193868,1194388,2022,48.0
信阳市,2959.0,95630,8,252353,1198287,2023,97.0
儋州市,231.7313,3494,0,519,148042,2015,0.0
儋州市,257.7835,4712,0,3499,149236,2016,0.0
儋州市,287.6269,20647,1,1325,138928,2017,1.0
儋州市,322.9693,40514,4,918,195274,2018,0.0
儋州市,358.0,45528,4,973,183145,2019,5.0
儋州市,359.0,37713,3,782,162436,2020,20.0
儋州市,832.0,28394,2,3990,226739,2021,76.0
儋州市,879.0,27619,7,21068,267376,2022,117.0
儋州市,1003.0,44172,10,22845,282617,2023,128.0
克拉玛依市,629.4299,16591,0,15056,219305,2015,0.0
克拉玛依市,620.9989,20290,0,14040,212515,2016,0.0
克拉玛依市,745.0,32282,1,16696,236065,2017,0.0
克拉玛依市,898.142,33534,2,16272,237292,2018,0.0
克拉玛依市,973.0,34562,2,13458,251793,2019,0.0
克拉玛依市,887.0,31961,1,13668,242324,2020,0.0
克拉玛依市,1072.0,21176,0,14477,246754,2021,7.0
克拉玛依市,1188.0,22033,0,18672,256547,2022,8.0
克拉玛依市,1261.0,44227,0,25237,268915,2023,15.0
六安市,1016.4885,45714,0,32549,696511,2015,0.0
六安市,1108.1469,48454,0,45563,651272,2016,0.0
六安市,1168.05,60401,1,93232,675479,2017,0.0
六安市,1288.0538,67313,5,107316,773186,2018,0.0
六安市,1620.0,83480,6,115201,825818,2019,3.0
六安市,1670.0,89287,8,82972,912215,2020,6.0
六安市,1923.0,66134,5,49195,913543,2021,17.0
六安市,2005.0,69407,9,61308,973745,2022,73.0
六安市,2113.0,79479,11,99220,1051079,2023,171.0
六盘水市,1201.08,24142,0,33087,501062,2015,0.0
六盘水市,1313.7,33507,0,49294,560499,2016,0.0
六盘水市,1462.0,41895,0,61466,668900,2017,0.0
六盘水市,1525.69,43146,2,61413,729453,2018,0.0
六盘水市,1266.0,42478,2,55103,787139,2019,0.0
六盘水市,1340.0,48054,2,62896,759995,2020,2.0
六盘水市,1474.0,31430,1,62432,774637,2021,3.0
六盘水市,1504.0,41622,3,53109,800007,2022,18.0
六盘水市,1558.0,62008,3,55171,915051,2023,29.0
兰州市,2095.992,88981,0,41362,671067,2015,0.0
兰州市,2264.2318,96670,0,45156,740910,2016,0.0
兰州市,2500.80192202705,115501,0,67851,803250,2017,1.0
兰州市,2732.9373,123889,1,60572,799798,2018,1.0
兰州市,2837.0,124661,1,78947,882874,2019,11.0
兰州市,2887.0,114572,2,76095,824400,2020,12.0
兰州市,3231.0,105012,1,64665,812928,2021,21.0
兰州市,3344.0,105084,2,72630,802339,2022,82.0
兰州市,3487.0,132616,1,77481,787472,2023,182.0
内江市,1198.5784,30743,0,16721,395454,2015,0.0
内江市,1297.6712,36058,0,11328,378257,2016,0.0
内江市,1332.0,57045,0,16910,395664,2017,0.0
内江市,1411.7521,62678,5,16793,421747,2018,3.0
内江市,1433.0,57326,8,16049,474825,2019,10.0
内江市,1466.0,67023,11,11166,498847,2020,16.0
内江市,1606.0,43258,8,7824,454198,2021,42.0
内江市,1657.0,46860,9,8000,463168,2022,45.0
内江市,1807.0,74696,7,9912,474399,2023,35.0
包头市,3721.93,45213,0,53969,500593,2015,0.0
包头市,3867.63,55740,0,58364,534160,2016,0.0
包头市,2753.0,75796,0,39163,505189,2017,0.0
包头市,2951.79,79999,2,48268,545061,2018,2.0
包头市,2714.0,76283,2,42806,531860,2019,3.0
包头市,2787.0,79746,3,41581,535498,2020,6.0
包头市,3293.0,67012,4,54362,549053,2021,19.0
包头市,3750.0,65163,7,39154,609989,2022,35.0
包头市,4264.0,84025,6,61010,652580,2023,82.0
北京市,23014.59,412989,0,2877956,8556654,2015,0.0
北京市,25669.13,586974,0,2857785,8873761,2016,0.0
北京市,28014.94,952843,2,3617191,9645817,2017,3.0
北京市,30319.9787,934080,3,4258712,10255068,2018,4.0
北京市,35371.0,766775,7,4334165,11360185,2019,14.0
北京市,36103.0,571085,7,4109628,11382891,2020,21.0
北京市,40270.0,430571,12,4494463,11478293,2021,44.0
北京市,41611.0,408922,14,4887041,11711223,2022,659.0
北京市,43761.0,732484,24,5219079,12279032,2023,2289.0
北海市,892.0837,30628,0,4341,247285,2015,0.0
北海市,1006.65,45218,0,23933,280438,2016,0.0
北海市,1229.842036,58382,0,34004,287354,2017,0.0
北海市,1213.301,61132,3,45606,309437,2018,0.0
北海市,1301.0,66783,3,23220,370234,2019,3.0
北海市,1277.0,59677,6,4957,371610,2020,3.0
北海市,1504.0,49248,16,5844,371050,2021,27.0
北海市,1674.0,45436,23,29732,378556,2022,50.0
北海市,1751.0,69614,22,32239,382551,2023,65.0
十堰市,1300.12,43055,0,35058,411622,2015,0.0
十堰市,1429.15,53658,0,33972,498172,2016,0.0
十堰市,1632.32,76125,3,42705,548306,2017,0.0
十堰市,1747.82,76744,4,46469,536673,2018,3.0
十堰市,2013.0,65739,5,60996,561004,2019,1.0
十堰市,1915.0,69978,10,66347,590508,2020,4.0
十堰市,2164.0,63163,20,75623,571725,2021,27.0
十堰市,2305.0,55909,23,123423,628038,2022,46.0
十堰市,2359.0,74351,16,130267,651749,2023,87.0
南京市,9720.77,149787,0,520300,1781700,2015,0.0
南京市,10503.02,187047,0,531300,2028600,2016,0.0
南京市,11715.1,285744,1,672942,2178419,2017,1.0
南京市,12820.4,310071,3,805440,2530631,2018,0.0
南京市,14031.0,277013,6,976200,2890500,2019,17.0
南京市,14818.0,226360,8,1008615,3062752,2020,97.0
南京市,16356.0,202654,8,1082628,3226752,2021,506.0
南京市,16908.0,198660,11,1120440,3303409,2022,1950.0
南京市,17421.0,285202,15,1126386,3409645,2023,1982.0
南充市,1516.2016,61721,0,17761,718249,2015,0.0
南充市,1651.4004,72729,0,15440,737133,2016,0.0
南充市,1828.0,82414,0,14205,813787,2017,0.0
南充市,2006.0333,84014,5,19568,844105,2018,3.0
南充市,2322.0,85213,8,17227,927582,2019,35.0
南充市,2401.0,87238,11,12467,967169,2020,50.0
南充市,2602.0,72863,8,17932,966992,2021,107.0
南充市,2685.0,70001,9,10130,955537,2022,123.0
南充市,2735.0,87391,7,13512,1011666,2023,88.0
南宁市,3410.0859,105451,0,58220,923758,2015,0.0
南宁市,3703.33,117143,0,51647,974586,2016,0.0
南宁市,4118.829288,139580,0,64433,1173869,2017,0.0
南宁市,4026.9053,154861,3,78509,1295459,2018,4.0
南宁市,4507.0,161098,3,106667,1408642,2019,6.0
南宁市,4726.0,144446,7,132196,1489412,2020,30.0
南宁市,5121.0,124922,19,136939,1540349,2021,177.0
南宁市,5218.0,125481,28,185515,1579384,2022,386.0
南宁市,5469.0,190714,26,157265,1557888,2023,585.0
南平市,1339.5148,45423,0,19266,436642,2015,0.0
南平市,1457.7378,55282,0,18099,463089,2016,0.0
南平市,1620.54,68285,2,31004,501458,2017,1.0
南平市,1792.513,67142,9,36957,555951,2018,3.0
南平市,1992.0,64892,16,33879,570662,2019,2.0
南平市,2007.0,69854,16,34908,576477,2020,43.0
南平市,2118.0,58086,13,26139,579218,2021,98.0
南平市,2212.0,59805,10,30742,622160,2022,97.0
南平市,2270.0,70272,14,32693,622457,2023,139.0
南昌市,4000.014,111513,0,82004,854606,2015,0.0
南昌市,4354.9927,121086,0,101403,900287,2016,0.0
南昌市,4547.63,157307,1,217331,998001,2017,0.0
南昌市,5274.6716,178909,2,273821,1110034,2018,3.0
南昌市,5596.0,168141,2,339770,1264296,2019,9.0
南昌市,5746.0,141754,1,372224,1351071,2020,34.0
南昌市,6651.0,128595,2,458501,1380575,2021,211.0
南昌市,7204.0,133040,4,395079,1453125,2022,424.0
南昌市,7213.0,198207,6,371957,1589642,2023,748.0
南通市,6148.3955,87293,0,242700,1643600,2015,0.0
南通市,6768.2,99849,0,228329,1548735,2016,0.0
南通市,7734.64,113230,0,272407,1529899,2017,0.0
南通市,8427.0,123952,2,377790,1483343,2018,1.0
南通市,9383.0,114530,3,330100,1720700,2019,3.0
南通市,10036.0,111881,4,410379,1917646,2020,12.0
南通市,11027.0,104919,4,503323,1897358,2021,112.0
南通市,11380.0,106134,8,528337,1882727,2022,182.0
南通市,11813.0,130755,10,572045,1910722,2023,273.0
南阳市,2866.8156,75091,0,61702,1000570,2015,0.0
南阳市,3114.9653,90690,0,70715,1087962,2016,0.0
南阳市,3345.3,104856,1,83424,1218277,2017,0.0
南阳市,3566.7734,132084,2,99620,1348463,2018,0.0
南阳市,3815.0,122795,5,120479,1547911,2019,3.0
南阳市,3926.0,118111,7,141431,1655403,2020,3.0
南阳市,4342.0,93589,9,140048,1573375,2021,22.0
南阳市,4555.0,96604,8,162832,1765479,2022,85.0
南阳市,4572.0,113152,8,193404,1862903,2023,178.0
厦门市,3466.0288,119434,0,185764,1018751,2015,0.0
厦门市,3784.2662,135895,0,212673,1090629,2016,0.0
